ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
18399,1139,2192,45.528873,11.194304,-442.8,-442.8,1.9516074,0.75
9942,1040,1386,45.505012,11.1928,-391,-391,1.9138908,0.76
9991,370,1392,45.49736,11.133976,-345.2,-345.2,1.9204483,0.75
18778,1178,2250,45.531386,11.200436,-286.6,-286.6,2.0135533,0.77
1079,272,631,45.475014,11.133993,-203.3,-203.3,2.0018718,0.75
216,259,566,45.473022,11.133372,-201.4,-201.4,1.9040425,0.77
919,244,620,45.474376,11.131637,-200,-200,2.0096144,0.79
123,208,558,45.472189,11.128893,-199.9,-199.9,1.9575424,0.75
104,229,557,45.472413,11.130786,-199.8,-199.8,1.9657047,0.8
353,260,579,45.473407,11.133396,-199.6,-199.6,2.0306452,0.77
1078,270,631,45.475001,11.133899,-199.1,-199.1,1.8545467,0.86
57,291,552,45.473015,11.136402,-198.6,-198.6,1.9736014,0.77
416,260,583,45.473523,11.133387,-198.5,-198.5,2.1463182,0.75
1880,202,682,45.475634,11.127424,-198.3,-198.3,1.9420366,0.75
232,293,567,45.473466,11.136476,-198.1,-198.1,1.9187599,0.82
559,288,593,45.474143,11.135828,-198,-198,1.9712897,0.79
171,254,562,45.472858,11.133025,-197.9,-197.9,2.1085768,0.76
1099,279,632,45.475141,11.134726,-197.7,-197.7,1.9596934,0.8
1999,223,690,45.476114,11.129258,-197.7,-197.7,2.0300419,0.76
340,255,578,45.473324,11.132996,-197.6,-197.6,1.9694309,0.76
722,209,605,45.47354,11.128669,-197.4,-197.4,2.0669926,0.75
1648,223,669,45.47552,11.129429,-197.3,-197.3,1.9746182,0.75
803,283,611,45.474595,11.135259,-197.1,-197.1,1.9362456,0.77
9,292,547,45.47289,11.136564,-197,-197,2.0426547,0.76
288,284,573,45.473531,11.135648,-196.9,-196.9,1.8909466,0.82
476,257,587,45.473605,11.13312,-196.9,-196.9,2.0376716,0.78
865,270,616,45.474582,11.134061,-196.8,-196.8,1.9924674,0.77
1064,279,630,45.475087,11.134759,-196.8,-196.8,1.9315704,0.82
185,208,563,45.47234,11.128919,-196.7,-196.7,1.9098013,0.76
137,248,559,45.472705,11.132538,-196.6,-196.6,2.0029387,0.79
948,268,622,45.474729,11.133839,-196.6,-196.6,2.0314851,0.78
70,246,554,45.47254,11.132399,-196.5,-196.5,2.0766765,0.78
195,229,564,45.47262,11.130798,-196.5,-196.5,1.96132,0.75
287,262,573,45.473269,11.133685,-196.5,-196.5,2.0430341,0.75
368,229,580,45.473073,11.130675,-196.4,-196.4,1.950551,0.79
1021,280,627,45.475015,11.13488,-196.4,-196.4,2.0023568,0.78
205,246,565,45.472852,11.132317,-196.3,-196.3,1.9799621,0.78
196,283,564,45.473266,11.135642,-196.2,-196.2,2.0972812,0.76
946,236,622,45.474347,11.130982,-196.2,-196.2,2.0232906,0.76
397,204,582,45.472832,11.128426,-196.1,-196.1,1.9689836,0.79
441,277,585,45.47379,11.134943,-196.1,-196.1,1.9879462,0.78
699,244,604,45.473934,11.131841,-196.1,-196.1,2.1244797,0.77
736,285,606,45.47448,11.135497,-196.1,-196.1,1.9992651,0.75
570,270,594,45.473961,11.13425,-196,-196,2.0004905,0.79
583,288,595,45.474205,11.135857,-195.8,-195.8,2.0055551,0.8
1606,225,666,45.475463,11.129661,-195.8,-195.8,2.0565986,0.76
1063,236,630,45.474575,11.130929,-195.7,-195.7,1.9706268,0.75
1098,243,632,45.474716,11.13154,-195.7,-195.7,1.8881012,0.78
124,246,558,45.472656,11.132386,-195.6,-195.6,2.0391363,0.78
160,257,561,45.472872,11.133349,-195.6,-195.6,2.0681734,0.76
342,288,578,45.473724,11.135993,-195.6,-195.6,1.9997507,0.79
381,289,581,45.473821,11.13606,-195.6,-195.6,1.9768452,0.79
1194,242,639,45.474903,11.131401,-195.5,-195.5,1.938584,0.78
1705,225,673,45.475662,11.129613,-195.5,-195.5,2.0492638,0.76
594,256,596,45.473852,11.132993,-195.3,-195.3,1.9719675,0.8
105,311,557,45.473405,11.138225,-195.1,-195.1,1.9622221,0.8
657,242,601,45.473827,11.131704,-195.1,-195.1,2.0070739,0.77
918,207,620,45.473947,11.12842,-195.1,-195.1,2.0576494,0.76
148,222,560,45.472427,11.130236,-194.8,-194.8,2.0550646,0.75
1076,237,631,45.474618,11.131029,-194.8,-194.8,2.0417094,0.77
2138,221,701,45.47641,11.129051,-194.8,-194.8,1.9898781,0.8
1919,215,684,45.475857,11.12865,-194.6,-194.6,2.0791285,0.76
2032,221,693,45.476184,11.129121,-194.5,-194.5,2.0563252,0.76
1020,262,627,45.474805,11.133309,-194.4,-194.4,1.942002,0.79
1210,277,640,45.475352,11.134552,-194.4,-194.4,1.9898075,0.78
475,208,587,45.473026,11.128782,-194.3,-194.3,1.9801007,0.77
545,255,592,45.47373,11.132958,-194.2,-194.2,1.9850266,0.77
630,287,599,45.474311,11.13577,-194.2,-194.2,1.9109022,0.83
826,285,613,45.474684,11.135481,-194.2,-194.2,1.9681921,0.8
1266,243,644,45.47506,11.131478,-194.2,-194.2,2.0537321,0.75
1789,217,677,45.475684,11.128894,-194.1,-194.1,2.0083189,0.8
629,267,599,45.474072,11.133982,-194,-194,1.9691627,0.8
628,249,599,45.473858,11.132375,-193.7,-193.7,1.916574,0.78
929,281,621,45.474865,11.135076,-193.5,-193.5,1.9579483,0.77
1664,225,670,45.475584,11.129683,-193.2,-193.2,2.0362313,0.75
1790,233,677,45.475878,11.130346,-193.2,-193.2,1.9804959,0.76
341,276,578,45.473588,11.134973,-192.9,-192.9,1.9477334,0.77
605,290,597,45.474294,11.136079,-192.9,-192.9,2.0002873,0.82
1427,216,654,45.475024,11.129009,-192.8,-192.8,2.0545131,0.77
864,207,616,45.47384,11.1285,-192.7,-192.7,1.9743222,0.75
2137,219,701,45.476392,11.128918,-192.6,-192.6,2.0186781,0.77
428,247,584,45.473413,11.132338,-192.5,-192.5,2.0954782,0.76
2098,219,698,45.476307,11.128945,-192.4,-192.4,2.0721981,0.75
2477,245,725,45.477383,11.131065,-192.4,-192.4,1.99095,0.8
458,306,586,45.474175,11.137611,-192.2,-192.2,2.0732551,0.75
2085,223,697,45.476327,11.129316,-192.2,-192.2,2.0213772,0.77
2506,226,727,45.477213,11.129352,-192.2,-192.2,2.0601177,0.76
417,279,583,45.473768,11.135221,-192.1,-192.1,1.9232834,0.78
1607,237,666,45.475617,11.130812,-192.1,-192.1,2.0380669,0.76
2044,219,694,45.476195,11.128984,-192,-192,2.0262086,0.76
2045,224,694,45.476255,11.129433,-192,-192,1.9101483,0.76
2355,236,717,45.47705,11.130332,-191.9,-191.9,1.9116538,0.8
1787,209,677,45.475595,11.128229,-191.5,-191.5,2.1066174,0.76
10,315,547,45.47318,11.138736,-191.4,-191.4,1.9325504,0.78
1295,276,646,45.475518,11.134476,-191.4,-191.4,1.891292,0.8
1532,225,661,45.475333,11.129789,-191.4,-191.4,2.0071007,0.76
1663,216,670,45.475481,11.128913,-191.4,-191.4,1.9458419,0.84
2228,230,708,45.476725,11.129875,-191.3,-191.3,2.0576205,0.76
48,313,551,45.47327,11.13853,-191.2,-191.2,2.0866249,0.81
659,289,601,45.4744,11.135994,-191.2,-191.2,2.0119038,0.79
1767,231,676,45.475831,11.130217,-191.1,-191.1,1.9650708,0.76
2242,244,709,45.476921,11.131126,-191.1,-191.1,2.0089261,0.8
241,1006,567,45.48194,11.200125,-191,-191,1.9475087,0.78
1989,220,689,45.476068,11.129133,-191,-191,2.0535989,0.77
2057,218,695,45.476214,11.12891,-190.9,-190.9,2.0925138,0.75
2544,239,729,45.47743,11.130535,-190.5,-190.5,2.0216541,0.8
2738,217,744,45.477591,11.128446,-190.5,-190.5,1.9243614,0.77
658,286,601,45.474367,11.135746,-190.2,-190.2,1.9455445,0.82
510,202,590,45.473051,11.128308,-190,-190,2.1385348,0.77
623,286,598,45.474282,11.135773,-190,-190,1.9737073,0.8
723,252,605,45.474074,11.132674,-190,-190,2.073565,0.75
1917,200,684,45.47569,11.127399,-190,-190,2.0606999,0.77
1918,208,684,45.475785,11.128116,-190,-190,2.0512509,0.77
68,1003,553,45.481511,11.19999,-189.9,-189.9,1.8562922,0.83
908,263,619,45.474602,11.133552,-189.9,-189.9,2.0234105,0.8
2279,238,712,45.476938,11.130591,-189.9,-189.9,2.0224393,0.78
1077,267,631,45.47499,11.13382,-189.7,-189.7,1.8867577,0.8
2314,224,714,45.476827,11.129322,-189.7,-189.7,1.9920028,0.78
2195,247,706,45.476877,11.131453,-189.4,-189.4,1.9600544,0.8
135,975,558,45.481324,11.197485,-189.2,-189.2,2.0010985,0.78
1861,208,681,45.475703,11.128155,-189.2,-189.2,2.0481435,0.77
2151,220,702,45.476441,11.129069,-189.2,-189.2,2.0349518,0.76
2300,273,713,45.477388,11.13374,-188.8,-188.8,1.9032668,0.78
2846,228,753,45.477983,11.129399,-188.7,-188.7,1.899152,0.76
947,257,622,45.474619,11.133019,-188.5,-188.5,2.1021606,0.75
2258,250,710,45.477029,11.13171,-188.5,-188.5,2.029574,0.76
2553,235,730,45.477416,11.13021,-188.5,-188.5,2.0229324,0.76
1998,208,690,45.47596,11.128106,-188.2,-188.2,2.0459651,0.77
2626,238,735,45.477594,11.130445,-188.2,-188.2,2.0575579,0.78
100,997,556,45.48153,11.199476,-187.9,-187.9,1.8569374,0.88
1788,215,677,45.475676,11.12884,-187.9,-187.9,2.0409259,0.77
1860,199,681,45.475598,11.127376,-187.9,-187.9,1.906369,0.8
1766,200,676,45.475469,11.127506,-187.8,-187.8,1.997076,0.75
