ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER,geometry,HEIGHT_RELATIVE,tinitaly_height,copernicus_height,HEIGHT_ABSOLUTE_TIN,diff_tinitaly,HEIGHT_ABSOLUTE_COP,diff_copernicus,outlier_score
8,329,540,45.473982,45.473297,11.146332,11.140874,118.5,118.5,2.0074392,0.87,POINT (667338.0923811094 5037759.230136217),118.5,118.2159,116.825676,122.49781494140626,4.281918334960949,123.23412780761717,6.408451843261702,0.011741290870546428
10,402,540,45.475132,45.474447,11.154973,11.149515,223.3,223.3,1.9041407,0.95,POINT (668010.0791626761 5037905.026474395),223.3,220.6239,228.83276,227.29781494140627,6.673913574218773,228.03412780761718,-0.7986358642578182,0.007850392056952593
12,421,540,45.47559,45.474905,11.158419,11.152961,310.0,310.0,1.8471017,0.95,POINT (668278.0592206989 5037963.121393342),310.0,320.4486,318.76776,313.99781494140626,-6.450793457031239,314.73412780761714,-4.033633422851608,0.006312831132830321
13,450,540,45.475908,45.475223,11.160802,11.155344,300.0,300.0,1.6810782,0.92,POINT (668463.3681216206 5038003.444630766),300.0,300.032,300.7668,303.99781494140626,3.9658020019531364,304.73412780761714,3.967312622070267,0.03052773448638213
14,470,540,45.476093,45.475408,11.162192,11.156734,280.6,280.6,1.7103707,0.96,POINT (668571.4589851797 5038026.913350752),280.6,279.7873,279.35437,284.5978149414063,4.810522460937534,285.33412780761716,5.979757690429665,0.030592551231189646
15,481,540,45.476213,45.475528,11.163091,11.157633,276.5,276.5,1.7031171,0.94,POINT (668641.3666899056 5038042.131806454),276.5,277.9957,278.17157,280.49781494140626,2.5021179199218864,281.23412780761714,3.062557983398392,0.028073885636286988
16,499,540,45.476389,45.475704,11.164414,11.158956,262.6,262.6,1.7839236,0.96,POINT (668744.2465599853 5038064.463015244),262.6,264.1083,264.17783,266.5978149414063,2.489508056640659,267.33412780761716,3.1563018798827898,0.02645768175272356
18,571,540,45.477051,45.476366,11.169371,11.163913,190.6,190.6,1.7792605,0.98,POINT (669129.7021442872 5038148.433472843),190.6,196.0017,195.85681,194.59781494140626,-1.4038787841796818,195.33412780761716,-0.5226837158203352,0.022021769918964984
19,616,540,45.477596,45.476911,11.173469,11.168011,195.2,195.2,1.7859754,0.96,POINT (669448.3619656644 5038217.617234845),195.2,198.0212,198.7929,199.19781494140625,1.1766204833984375,199.93412780761716,1.1412353515624716,0.022201005852522715
20,626,540,45.477713,45.477028,11.174345,11.168887,194.6,194.6,1.594969,0.96,POINT (669516.4772811943 5038232.463738501),194.6,197.7788,198.55145,198.59781494140626,0.8190216064453182,199.33412780761716,0.7826751708984148,0.029210512558696222
21,661,540,45.478126,45.477441,11.177449,11.171991,194.1,194.1,1.7415494,0.97,POINT (669757.8380969733 5038284.901530355),194.1,198.7235,198.86305,198.09781494140626,-0.6256805419921818,198.83412780761716,-0.028924560546897737,0.04579710128753717
22,668,540,45.478215,45.47753,11.178125,11.172667,196.8,196.8,1.7674524,0.96,POINT (669810.4048670637 5038296.21792145),196.8,198.6327,199.18529,200.79781494140627,2.1651092529297102,201.53412780761718,2.3488403320312443,0.03583849125422156
23,718,540,45.478794,45.478109,11.182473,11.177015,192.1,192.1,1.6381338,0.97,POINT (670148.4881022482 5038369.743416089),192.1,197.2426,197.31453,196.09781494140626,-1.1447845458984318,196.83412780761716,-0.48040161132814774,0.052075109574159395
24,745,540,45.479116,45.478431,11.184896,11.179438,193.4,193.4,1.7029312,0.96,POINT (670336.889916908 5038410.651688183),193.4,198.0191,198.53673,197.39781494140627,-0.621289062499983,198.13412780761718,-0.40260009765626137,0.049654187198445
25,774,540,45.479462,45.478777,11.187494,11.182036,194.5,194.5,1.7493051,0.97,POINT (670538.8943053576 5038454.603515095),194.5,198.4018,198.71524,198.49781494140626,0.09602050781251137,199.23412780761717,0.5188873291015454,0.05127666026943006
26,785,540,45.479586,45.478901,11.188428,11.18297,192.4,192.4,1.7855074,0.97,POINT (670611.51692533 5038470.362849727),192.4,200.0347,198.48814,196.39781494140627,-3.636883544921858,197.13412780761718,-1.3540161132812614,0.055841018893384775
27,788,540,45.479619,45.478934,11.188678,11.18322,191.7,191.7,1.7752053,0.96,POINT (670630.9560489359 5038474.560058829),191.7,199.4485,197.52118,195.69781494140625,-3.7506866455078125,196.43412780761716,-1.087051391601591,0.05518889559890877
28,828,540,45.480081,45.479396,11.192155,11.186697,188.1,188.1,1.849362,0.94,POINT (670901.3038180083 5038533.278439363),188.1,195.0479,194.99825,192.09781494140626,-2.950082397460932,192.83412780761716,-2.1641174316406477,0.06606221907549692
29,830,540,45.480105,45.47942,11.192331,11.186873,188.0,188.0,1.8328844,0.93,POINT (670914.986398732 5038536.319228389),188.0,195.0798,195.2041,191.99781494140626,-3.0819885253906136,192.73412780761717,-2.4699737548828296,0.06661207361615407
30,845,540,45.480322,45.479637,11.19397,11.188512,203.5,203.5,1.8105935,0.95,POINT (671042.424543503 5038563.9159045),203.5,211.2565,210.38393,207.49781494140626,-3.7586853027343636,208.23412780761717,-2.149798583984392,0.06946344612529481
31,867,540,45.480695,45.48001,11.196778,11.19132,246.3,246.3,1.8149298,0.94,POINT (671260.7506238765 5038611.338019297),246.3,256.3915,257.2275,250.29781494140627,-6.093695068359352,251.03412780761718,-6.193380737304693,0.059447793354208245
32,874,540,45.480787,45.480102,11.197469,11.192011,249.8,249.8,1.7882128,0.94,POINT (671314.4757909104 5038623.032416419),249.8,258.2337,258.86874,253.79781494140627,-4.435888671874977,254.53412780761718,-4.334616088867193,0.07106796752109307
33,909,540,45.481104,45.480419,11.199858,11.1944,214.3,214.3,1.8807381,0.92,POINT (671500.2221461518 5038663.348001112),214.3,222.2123,222.90585,218.29781494140627,-3.9144805908202898,219.03412780761718,-3.871725463867193,0.07367946657477326
34,979,540,45.481679,45.480994,11.204168,11.19871,120.0,120.0,1.9170026,0.91,POINT (671835.3127856593 5038736.439847981),120.0,125.2712,125.383224,123.99781494140626,-1.2733871459960824,124.73412780761717,-0.649096679687517,0.07546327754367821
35,983,540,45.481724,45.481039,11.204511,11.199053,119.4,119.4,1.9686829,0.92,POINT (671861.9821068769 5038742.1730302675),119.4,125.9041,126.57836,123.39781494140627,-2.5062835693359204,124.13412780761718,-2.4442337036132926,0.08037828330871277
36,993,540,45.481829,45.481144,11.2053,11.199842,114.6,114.6,1.9438556,0.92,POINT (671923.324633615 5038755.526641614),114.6,124.9694,125.5616,118.59781494140626,-6.371583557128901,119.33412780761716,-6.227471923828148,0.06764201057352281
37,1068,540,45.483074,45.482389,11.214697,11.209239,253.0,253.0,2.0501004,0.89,POINT (672653.914147586 5038913.998207351),253.0,261.6667,259.56815,256.99781494140626,-4.668872070312489,257.73412780761714,-1.834017944335983,0.06036812619965409
38,1086,540,45.483323,45.482638,11.216579,11.211121,267.6,267.6,2.1402689,0.9,POINT (672800.2313337428 5038945.708435083),267.6,274.9929,271.4427,271.5978149414063,-3.395074462890591,272.33412780761716,0.8914398193359148,0.056742502145842755
39,1109,540,45.483649,45.482964,11.219038,11.21358,289.1,289.1,2.2187846,0.92,POINT (672991.4037369669 5038987.219116674),289.1,296.7157,298.2462,293.0978149414063,-3.617883300781216,293.83412780761716,-4.41205749511721,0.054965957386607256
40,1115,540,45.483748,45.483063,11.219782,11.214324,299.9,299.9,2.242677,0.89,POINT (673049.2436880118 5038999.820358408),299.9,309.7493,311.7748,303.89781494140624,-5.851483154296886,304.6341278076171,-7.140682983398506,0.037097270783608916
52,330,541,45.474024,45.473339,11.146423,11.140965,119.0,119.0,1.9975441,0.88,POINT (667345.0808447001 5037764.085710922),119.0,119.8972,118.77646,122.99781494140626,3.100613403320324,123.73412780761717,4.9576690673827954,0.009261858513271326
