Land_Cover,N_Points,Coverage_Pct,Void_Pct,Void_Contribution,NMAD_TIN,RMSE_TIN,Bias_TIN,NMAD_COP,RMSE_COP,Bias_COP,Coherence_Mean,Coherence_Std,Quality_Score
Vineyards,21563,100,0,0.0,3.4862455810546873,4.2309743703940965,0.6452255681389825,3.4941363720703293,3.949577948659187,1.1767772058739059,0.9455159300653896,0.03613693006338552,85.23775662676209
Discontinuous urban fabric,5082,100,0,0.0,2.3284439318847907,3.525168679951484,1.1472771429536863,2.3320771343994307,3.5521261440829135,0.626627660613989,0.957378984651712,0.05077026854749081,82.66990904223653
"Beaches, dunes, sands",1614,100,0,0.0,1.699816192932112,2.219074145847689,-1.0051251814415778,1.1505782272338867,1.6334273108909785,0.8459637439827171,0.9850433705080546,0.006276683353070762,80.39738578589238
Complex cultivation patterns,2478,100,0,0.0,2.281357084350603,3.254901708321475,0.8031155232944218,1.6487409667968749,2.751995634109995,1.3788255348236471,0.9718845843422115,0.016518777208162715,79.16984042773076
Pastures,5977,100,0,0.0,4.349463731689521,5.672487265973782,-1.681466871750443,3.6697607666015624,8.29876007879014,-1.4684796730770302,0.8990530366404551,0.046181210262284375,75.05344062284874
Olive groves,1839,100,0,0.0,2.876283815917981,6.423935319608342,-4.5478961631356025,2.867261890869115,5.64373781799918,-3.5551543094205513,0.9115769439912995,0.0274687166254566,74.92701889619757
"Land principally occupied by agriculture, with significant areas of natural vegetation",11139,100,0,0.0,6.836714357299788,7.206167467523743,-0.4856968081474849,6.534470819091797,6.953172788854555,-0.31313781258831835,0.8985232067510548,0.04454918409433037,71.13099067206667
Broad-leaved forest,13443,100,0,0.0,8.015758703613281,10.301084650830544,2.780669897237351,7.207703697509748,11.64799360192429,-0.5094630998416823,0.9013322918991297,0.04843023000567428,66.45694956403382
Mixed forest,254,100,0,0.0,5.066774641113298,5.779419163305269,0.1888173140878517,3.6268681640625,5.22838667249291,-2.2304577684777964,0.8833464566929135,0.028745545233906437,63.36409828594051
Coniferous forest,1260,100,0,0.0,5.926047396240226,6.568660203052006,1.4382127065506964,4.8879785467529375,6.722452970429868,-3.676005263555606,0.8851746031746032,0.0318413160860011,61.46342946265815
