ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
1,221,540,45.472638,11.13625,97.7,97.7,2.2880116,0.71
2,329,540,45.473973,11.146259,114.9,114.9,2.2076776,0.77
3,396,540,45.475019,11.154119,207.6,207.6,1.8529912,0.9
4,399,540,45.475076,11.154547,215.5,215.5,1.9246078,0.9
5,402,540,45.475128,11.154941,221.8,221.8,2.1337192,0.83
6,415,540,45.475506,11.15779,305.3,305.3,1.9539883,0.88
7,421,540,45.475588,11.158403,309.2,309.2,1.8920449,0.9
8,450,540,45.475905,11.160783,299,299,1.7734235,0.9
9,470,540,45.476087,11.162145,278.2,278.2,1.8026483,0.92
10,481,540,45.476207,11.163045,274.3,274.3,1.7767338,0.91
11,499,540,45.476384,11.164377,260.8,260.8,1.7253694,0.95
12,547,540,45.47681,11.167564,206.9,206.9,1.7332526,0.94
13,571,540,45.477048,11.169355,189.8,189.8,1.7256769,0.97
14,616,540,45.477591,11.173432,193.3,193.3,1.8387769,0.86
15,626,540,45.477708,11.174309,192.8,192.8,1.8209436,0.9
16,661,540,45.478123,11.177433,193.3,193.3,1.7345634,0.95
17,668,540,45.478208,11.17807,194.1,194.1,1.7211828,0.9
18,707,540,45.478669,11.181536,194.1,194.1,1.7788876,0.92
19,718,540,45.478793,11.182469,191.9,191.9,1.71154,0.94
20,745,540,45.479115,11.18489,193.1,193.1,1.7366556,0.93
21,774,540,45.479458,11.187468,193.2,193.2,1.7899167,0.89
22,785,540,45.479588,11.188443,193.2,193.2,1.8082031,0.9
23,788,540,45.479621,11.188696,192.5,192.5,1.810784,0.89
24,812,540,45.479901,11.190801,191.3,191.3,1.7502013,0.85
25,828,540,45.480084,11.192176,189.2,189.2,1.8465181,0.88
26,830,540,45.480108,11.192356,189.3,189.3,1.8941689,0.84
27,838,540,45.480212,11.193139,192.9,192.9,1.8282641,0.83
28,845,540,45.480322,11.193969,203.4,203.4,1.8739791,0.87
29,867,540,45.480703,11.196837,249.2,249.2,1.8686904,0.81
30,874,540,45.480793,11.197517,252.2,252.2,1.831964,0.84
31,909,540,45.481114,11.199933,218,218,1.8612597,0.81
32,915,540,45.481159,11.200267,208.1,208.1,1.8543343,0.8
33,993,540,45.481834,11.205335,116.3,116.3,2.018057,0.71
34,1041,540,45.482715,11.211988,236.8,236.8,2.4727265,0.83
35,1068,540,45.483078,11.214729,254.6,254.6,2.622714,0.78
36,1099,540,45.4835,11.217912,276.9,276.9,2.3659425,0.82
37,1109,540,45.483646,11.219011,287.8,287.8,2.4414551,0.9
38,1115,540,45.48374,11.219721,296.8,296.8,2.6035636,0.78
39,1172,540,45.484484,11.225335,326.2,326.2,2.5651726,0.7
40,261,541,45.473139,11.13979,96.1,96.1,2.113324,0.7
41,304,541,45.47366,11.14369,98.8,98.8,2.2126197,0.75
42,330,541,45.474016,11.146368,116.2,116.2,2.1974739,0.78
43,345,541,45.474195,11.147711,116.4,116.4,1.9777889,0.76
44,353,541,45.474318,11.148633,126.6,126.6,1.9132837,0.8
45,381,541,45.474769,11.152021,170.5,170.5,1.9835544,0.86
46,455,541,45.475985,11.161164,296.2,296.2,1.7231786,0.89
47,474,541,45.476158,11.162461,276.6,276.6,1.8406795,0.9
48,484,541,45.476268,11.163281,273.1,273.1,1.7447844,0.94
49,488,541,45.476311,11.163608,271.6,271.6,1.7840454,0.94
50,500,541,45.476423,11.164448,260.3,260.3,1.7271837,0.95
51,521,541,45.476614,11.165879,238.5,238.5,1.7786215,0.9
52,567,541,45.477028,11.168983,189.4,189.4,1.7360706,0.97
53,585,541,45.477235,11.170536,186.9,186.9,1.8090533,0.94
54,634,541,45.477831,11.175014,192.8,192.8,1.7266603,0.93
55,734,541,45.479014,11.183908,193.2,193.2,1.997469,0.77
56,739,541,45.479074,11.184355,193.4,193.4,1.861829,0.88
57,741,541,45.479097,11.184531,193.3,193.3,1.8180526,0.9
58,750,541,45.479202,11.185323,192.9,192.9,1.7209068,0.93
59,762,541,45.479347,11.186413,194.2,194.2,1.7453111,0.91
60,819,541,45.480009,11.191393,190.3,190.3,1.7179511,0.92
61,822,541,45.480043,11.191649,189.8,189.8,1.7226725,0.93
62,826,541,45.480089,11.191993,189.2,189.2,1.7850075,0.91
63,887,541,45.480957,11.198534,245.9,245.9,1.793765,0.82
64,905,541,45.481118,11.199743,226.6,226.6,1.8851083,0.78
65,917,541,45.481204,11.200384,205.5,205.5,1.8629703,0.79
66,997,541,45.481906,11.205663,115.4,115.4,2.029892,0.71
67,1000,541,45.48194,11.205917,114.8,114.8,2.0333183,0.71
68,1032,541,45.482604,11.210932,224.1,224.1,2.0593303,0.78
69,1065,541,45.483074,11.214477,255.6,255.6,2.5610919,0.79
70,1070,541,45.48313,11.214895,254.4,254.4,2.5385579,0.8
71,1078,541,45.483238,11.21571,259.9,259.9,2.6502716,0.74
72,1080,541,45.483268,11.21594,262.6,262.6,2.7005892,0.75
73,1083,541,45.483314,11.216285,266.6,266.6,2.7119757,0.75
74,1200,541,45.485022,11.229179,395.7,395.7,1.959182,0.83
75,305,542,45.473702,11.143785,99.4,99.4,2.1326264,0.75
76,318,542,45.473874,11.145082,106.1,106.1,1.999258,0.72
77,334,542,45.474098,11.146762,118.4,118.4,2.1795052,0.81
78,371,542,45.474614,11.150634,146.4,146.4,2.1716605,0.75
79,376,542,45.474715,11.151392,161.8,161.8,2.1009897,0.83
80,436,542,45.475835,11.159817,313.8,313.8,1.8432034,0.91
81,445,542,45.475921,11.160465,306.1,306.1,1.7825138,0.9
82,472,542,45.476165,11.162291,277.4,277.4,1.8296883,0.91
83,475,542,45.476198,11.162538,276.4,276.4,1.8376329,0.9
84,513,542,45.476565,11.165289,245,245,1.8154759,0.93
85,518,542,45.476614,11.16566,241.3,241.3,1.789244,0.92
86,574,542,45.477142,11.169614,190.1,190.1,1.7145062,0.97
87,591,542,45.477341,11.17111,189.3,189.3,1.7901635,0.96
88,627,542,45.477777,11.174387,193,193,1.7798861,0.92
89,631,542,45.477824,11.174738,192.7,192.7,1.7520114,0.93
90,676,542,45.47836,11.178772,194.4,194.4,1.7244583,0.94
91,782,542,45.47961,11.188166,193.4,193.4,1.7936882,0.9
92,791,542,45.479711,11.188929,191.7,191.7,1.800397,0.89
93,840,542,45.480296,11.193327,194.2,194.2,1.8048664,0.86
94,847,542,45.480409,11.194183,206,206,1.8867142,0.87
