ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
1,161,540,45.472016,45.471331,11.131595,11.126137,132.9,132.9,1.9240704,0.88
2,193,540,45.472343,45.471658,11.134042,11.128584,112.3,112.3,1.8027558,0.86
3,203,540,45.47244,45.471755,11.134771,11.129313,104.2,104.2,1.9905726,0.84
4,221,540,45.472648,45.471963,11.136329,11.130871,101.6,101.6,2.0115928,0.86
5,226,540,45.472707,45.472022,11.136773,11.131315,101.4,101.4,1.9871221,0.87
6,238,540,45.472854,45.472169,11.137871,11.132413,102.6,102.6,1.9338657,0.86
7,252,540,45.473017,45.472332,11.139093,11.133635,101,101,1.8823783,0.85
8,329,540,45.473982,45.473297,11.146332,11.140874,118.5,118.5,2.0074392,0.87
9,399,540,45.475079,45.474394,11.15457,11.149112,216.7,216.7,1.8441362,0.94
10,402,540,45.475132,45.474447,11.154973,11.149515,223.3,223.3,1.9041407,0.95
11,415,540,45.475494,45.474809,11.157696,11.152238,300.7,300.7,1.8186851,0.91
12,421,540,45.47559,45.474905,11.158419,11.152961,310,310,1.8471017,0.95
13,450,540,45.475908,45.475223,11.160802,11.155344,300,300,1.6810782,0.92
14,470,540,45.476093,45.475408,11.162192,11.156734,280.6,280.6,1.7103707,0.96
15,481,540,45.476213,45.475528,11.163091,11.157633,276.5,276.5,1.7031171,0.94
16,499,540,45.476389,45.475704,11.164414,11.158956,262.6,262.6,1.7839236,0.96
17,547,540,45.476804,45.476119,11.16752,11.162062,204.7,204.7,1.7995606,0.95
18,571,540,45.477051,45.476366,11.169371,11.163913,190.6,190.6,1.7792605,0.98
19,616,540,45.477596,45.476911,11.173469,11.168011,195.2,195.2,1.7859754,0.96
20,626,540,45.477713,45.477028,11.174345,11.168887,194.6,194.6,1.594969,0.96
21,661,540,45.478126,45.477441,11.177449,11.171991,194.1,194.1,1.7415494,0.97
22,668,540,45.478215,45.47753,11.178125,11.172667,196.8,196.8,1.7674524,0.96
23,718,540,45.478794,45.478109,11.182473,11.177015,192.1,192.1,1.6381338,0.97
24,745,540,45.479116,45.478431,11.184896,11.179438,193.4,193.4,1.7029312,0.96
25,774,540,45.479462,45.478777,11.187494,11.182036,194.5,194.5,1.7493051,0.97
26,785,540,45.479586,45.478901,11.188428,11.18297,192.4,192.4,1.7855074,0.97
27,788,540,45.479619,45.478934,11.188678,11.18322,191.7,191.7,1.7752053,0.96
28,828,540,45.480081,45.479396,11.192155,11.186697,188.1,188.1,1.849362,0.94
29,830,540,45.480105,45.47942,11.192331,11.186873,188,188,1.8328844,0.93
30,845,540,45.480322,45.479637,11.19397,11.188512,203.5,203.5,1.8105935,0.95
31,867,540,45.480695,45.48001,11.196778,11.19132,246.3,246.3,1.8149298,0.94
32,874,540,45.480787,45.480102,11.197469,11.192011,249.8,249.8,1.7882128,0.94
33,909,540,45.481104,45.480419,11.199858,11.1944,214.3,214.3,1.8807381,0.92
34,979,540,45.481679,45.480994,11.204168,11.19871,120,120,1.9170026,0.91
35,983,540,45.481724,45.481039,11.204511,11.199053,119.4,119.4,1.9686829,0.92
36,993,540,45.481829,45.481144,11.2053,11.199842,114.6,114.6,1.9438556,0.92
37,1068,540,45.483074,45.482389,11.214697,11.209239,253,253,2.0501004,0.89
38,1086,540,45.483323,45.482638,11.216579,11.211121,267.6,267.6,2.1402689,0.9
39,1109,540,45.483649,45.482964,11.219038,11.21358,289.1,289.1,2.2187846,0.92
40,1115,540,45.483748,45.483063,11.219782,11.214324,299.9,299.9,2.242677,0.89
41,1172,540,45.4845,45.483815,11.225454,11.219996,332.1,332.1,2.0925754,0.83
42,1192,540,45.484879,45.484194,11.22832,11.222862,387.6,387.6,2.0080463,0.88
43,155,541,45.471978,45.471293,11.131091,11.125633,135,135,1.9523554,0.86
44,225,541,45.472724,45.472039,11.136675,11.131217,101.3,101.3,1.9895018,0.87
45,235,541,45.472844,45.472159,11.137577,11.132119,101.7,101.7,1.9343532,0.85
46,245,541,45.472965,45.47228,11.138486,11.133028,102.4,102.4,1.9158968,0.85
47,261,541,45.473151,45.472466,11.139877,11.134419,100.4,100.4,1.8544573,0.88
48,269,541,45.473247,45.472562,11.140598,11.13514,100.6,100.6,1.9144718,0.86
49,284,541,45.473429,45.472744,11.14196,11.136502,101.7,101.7,1.8684245,0.84
50,292,541,45.473524,45.472839,11.142674,11.137216,101.6,101.6,1.9251645,0.85
51,304,541,45.473669,45.472984,11.14376,11.138302,102.2,102.2,1.9812434,0.89
52,330,541,45.474024,45.473339,11.146423,11.140965,119,119,1.9975441,0.88
53,345,541,45.474203,45.473518,11.147771,11.142313,119.3,119.3,1.8938924,0.9
54,353,541,45.474326,45.473641,11.148695,11.143237,129.7,129.7,1.8101867,0.9
55,381,541,45.474775,45.47409,11.152069,11.146611,172.8,172.8,1.8837549,0.92
56,455,541,45.475982,45.475297,11.161143,11.155685,295.2,295.2,1.7713456,0.9
57,474,541,45.476165,45.47548,11.162508,11.15705,279,279,1.7194448,0.95
58,488,541,45.476316,45.475631,11.163642,11.158184,273.3,273.3,1.7370526,0.95
59,521,541,45.476608,45.475923,11.165834,11.160376,236.3,236.3,1.6912492,0.94
60,567,541,45.477029,45.476344,11.16899,11.163532,189.7,189.7,1.812212,0.98
61,585,541,45.477236,45.476551,11.170542,11.165084,187.2,187.2,1.8453101,0.96
62,734,541,45.479016,45.478331,11.183918,11.17846,193.7,193.7,1.7415277,0.96
63,762,541,45.479348,45.478663,11.186418,11.18096,194.4,194.4,1.8040942,0.96
64,819,541,45.480007,45.479322,11.191376,11.185918,189.4,189.4,1.8086947,0.95
65,822,541,45.480041,45.479356,11.19163,11.186172,188.8,188.8,1.8183726,0.96
66,887,541,45.480953,45.480268,11.198501,11.193043,244.2,244.2,1.7732682,0.94
67,898,541,45.481046,45.480361,11.199202,11.193744,230.5,230.5,1.8550727,0.92
68,905,541,45.481108,45.480423,11.199667,11.194209,222.8,222.8,1.8825247,0.92
69,917,541,45.481195,45.48051,11.20032,11.194862,202.3,202.3,1.8733827,0.91
70,943,541,45.481383,45.480698,11.201727,11.196269,157.6,157.6,1.8876463,0.89
71,965,541,45.481555,45.48087,11.203014,11.197556,124.6,124.6,1.8011547,0.91
72,973,541,45.481635,45.48095,11.203621,11.198163,119.5,119.5,1.8215329,0.91
73,997,541,45.481902,45.481217,11.20563,11.200172,113.8,113.8,1.9396023,0.92
74,1000,541,45.481936,45.481251,11.205888,11.20043,113.4,113.4,1.9330544,0.92
75,1022,541,45.48239,45.481705,11.209314,11.203856,187.5,187.5,2.1554302,0.87
76,1026,541,45.48247,45.481785,11.209915,11.204457,199.8,199.8,2.0350284,0.9
77,1032,541,45.482599,45.481914,11.210892,11.205434,222.2,222.2,1.9741218,0.91
78,1065,541,45.48307,45.482385,11.214448,11.20899,254.2,254.2,2.0607084,0.89
79,1070,541,45.483126,45.482441,11.214871,11.209413,253.3,253.3,2.0575103,0.89
80,1080,541,45.483266,45.482581,11.215921,11.210463,261.6,261.6,2.1495327,0.9
81,1083,541,45.48331,45.482625,11.216255,11.210797,265.1,265.1,2.1419307,0.9
82,1181,541,45.484724,45.484039,11.226932,11.221474,367,367,2.1467641,0.86
83,1185,541,45.484802,45.484117,11.227519,11.222061,378.7,378.7,1.996565,0.89
84,1200,541,45.485018,45.484333,11.229149,11.223691,394.2,394.2,1.9477443,0.88
85,153,542,45.471982,45.471297,11.130905,11.125447,135,135,1.9505054,0.84
86,226,542,45.472764,45.472079,11.136758,11.1313,101.4,101.4,1.9799112,0.87
87,232,542,45.472836,45.472151,11.137295,11.131837,101.4,101.4,1.9465875,0.86
88,237,542,45.472897,45.472212,11.137754,11.132296,102,102,1.9255926,0.85
89,266,542,45.473239,45.472554,11.140317,11.134859,100.4,100.4,1.9032427,0.87
