ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER,HEIGHT_RELATIVE,tinitaly_height,copernicus_height,HEIGHT_ABSOLUTE_TIN,diff_tinitaly,HEIGHT_ABSOLUTE_COP,diff_copernicus,outlier_score,slope_tin,aspect_tin,slope_category,corine_code,land_cover,land_cover_level1,local_incidence,is_shadow,geometric_quality,height_category,elevation_range,mean_elevation,std_elevation,longitude,latitude
13,450,540,45.475908,45.475223,11.160802,11.155344,300.0,300.0,1.6810782,0.92,300.0,300.69638,300.9238,303.94141998291013,3.2450393676757585,304.7026794433594,3.7788818359375114,0.02805639517312064,19.088104,242.35522,Moderate (15-30°),221,Vineyards,2. Agricultural Areas,26.646798356142565,False,1,200-400m,0.923797607421875,300.54005940755206,0.39300360036351895,668463.3681216206,5038003.444630766
14,470,540,45.476093,45.475408,11.162192,11.156734,280.6,280.6,1.7103707,0.96,280.6,280.6856,280.15613,284.54141998291016,3.8558120727539062,285.3026794433594,5.146551513671909,0.02672107687847669,7.1219697,215.57018,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,28.596513516508452,False,1,200-400m,0.52947998046875,280.48057861328124,0.23206804050202118,668571.4589851797,5038026.913350752
51,304,541,45.473669,45.472984,11.14376,11.138302,102.2,102.2,1.9812434,0.89,102.2,101.33526,101.89667,106.14141998291015,4.806161499023432,106.90267944335939,5.006011962890639,0.010574636282174588,5.1362143,144.59181,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,31.72146127929362,False,0,0-200m,0.8647415161132841,101.81064198811849,0.35823154655711503,667137.9830420078,5037719.102703709
52,330,541,45.474024,45.473339,11.146423,11.140965,119.0,119.0,1.9975441,0.88,119.0,119.45311,118.64821,122.94141998291015,3.4883102416992102,123.70267944335939,5.054470825195324,0.015459524279985648,7.153627,165.29735,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,28.766822248281155,False,1,0-200m,0.804901123046875,119.03377278645833,0.32946613918013923,667345.0808447001,5037764.085710922
57,474,541,45.476165,45.47548,11.162508,11.15705,279.0,279.0,1.7194448,0.95,279.0,279.43146,279.4825,282.94141998291013,3.5099624633788835,283.7026794433594,4.220166015625011,0.028499192742494572,6.3504014,211.6252,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,29.086959651282992,False,1,200-400m,0.482513427734375,279.3046569824219,0.2164310269568783,668595.9427323694,5038035.575416373
90,305,542,45.473709,45.473024,11.143844,11.138386,102.4,102.4,1.9494234,0.89,102.4,102.09003,102.323944,106.34141998291015,4.251393127441403,107.10267944335939,4.778735351562517,0.013555939072021461,6.1772094,134.37825,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,32.06494699651007,False,0,0-200m,0.3099731445312557,102.27132364908853,0.13190279457682536,667144.430467254,5037723.721294692
91,334,542,45.474103,45.473418,11.146801,11.141343,120.4,120.4,1.9879685,0.89,120.4,120.84698,120.89225,124.34141998291015,3.4944427490234347,125.10267944335939,4.210429382324236,0.0123500316300309,4.8448653,168.47104,Flat (0-5°),221,Vineyards,2. Agricultural Areas,30.61139101527448,False,0,0-200m,0.49225006103515057,120.71307576497395,0.22214819855226253,667374.3924394128,5037773.649770918
96,475,542,45.476204,45.475519,11.162586,11.157128,278.8,278.8,1.717264,0.95,278.8,279.43146,279.4825,282.74141998291014,3.309962463378895,283.5026794433594,4.020166015625023,0.03021507054427397,6.3504014,211.6252,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,29.086959651282992,False,1,200-400m,0.6825134277343636,279.2379903157552,0.3104065226571083,668601.9228475034,5038040.071852565
129,300,543,45.473676,45.472991,11.143376,11.137918,101.7,101.7,1.9621139,0.87,101.7,101.490456,101.17429,105.64141998291015,4.150964355468744,106.40267944335939,5.228385925292983,0.014981400090332553,3.4425063,194.95668,Flat (0-5°),221,Vineyards,2. Agricultural Areas,31.562515062517708,False,0,0-200m,0.5257064819335966,101.45491638183593,0.2160850214929362,667107.9476280349,5037719.081484995
173,362,544,45.474536,45.473851,11.149606,11.144148,136.1,136.1,1.9042351,0.9,136.1,137.09517,136.48553,140.04141998291016,2.9462509155273438,140.80267944335938,4.317144775390631,0.01577807099671613,11.034786,122.65448,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,32.57029210572855,False,0,0-200m,0.9951690673828182,136.56023457845052,0.4096953548173612,667592.3548711601,5037827.602352407
220,468,545,45.476216,45.475531,11.162014,11.156556,282.5,282.5,1.6799748,0.96,282.5,282.46756,282.4701,286.44141998291013,3.9738601684570085,287.2026794433594,4.732586669921886,0.0284510954375351,8.0312805,208.05202,Gentle (5-15°),221,Vineyards,2. Agricultural Areas,27.360827688387747,False,1,200-400m,0.032440185546875,282.4792175292969,0.01473176356717729,668557.1796494395,5038040.204555916
277,329,547,45.474184,45.473499,11.146308,11.14085,120.0,120.0,1.9501356,0.88,120.0,120.827034,120.04949,123.94141998291015,3.1143859863281165,124.70267944335939,4.653187561035168,0.012772834015629786,4.4200625,149.40622,Flat (0-5°),221,Vineyards,2. Agricultural Areas,31.868965361020532,False,0,0-200m,0.8270339965820312,120.29217529296875,0.37874154443996805,667335.6183935192,5037781.62141021
285,527,547,45.476823,45.476138,11.166124,11.160666,226.5,226.5,1.6979172,0.96,226.5,226.33286,226.9463,230.44141998291013,4.1085647583007585,231.2026794433594,4.256375122070324,0.019114505988781172,13.195077,320.01147,Gentle (5-15°),223,Olive groves,2. Agricultural Areas,44.20113158954836,False,0,200-400m,0.6134490966796875,226.59305318196616,0.2589390141324138,668876.602436904,5038116.272099813
