CODE_18,Label,Area_km2,Coverage_Pct,Mean_Density,Median_Density,Std_Dev_Density,Min_Density,Max_Density
311,Broad-leaved forest,15.2995,10.33955358018236,10440.609,10000.0,2110.0176,10000.0,40000.0
221,Vineyards,14.033000000000001,15.593957101118791,10393.456,10000.0,1958.211,10000.0,30000.0
243,"Land principally occupied by agriculture, with significant areas of natural vegetation",11.3862,9.666087017617818,10397.056,10000.0,1975.7955,10000.0,30000.0
231,Pastures,4.1168000000000005,10.075787019043918,10332.69,10000.0,1872.3026,10000.0,30000.0
112,Discontinuous urban fabric,2.0639000000000003,16.880662822811182,10470.724,10000.0,2144.8691,10000.0,30000.0
242,Complex cultivation patterns,1.4994,18.900893690809657,10426.958,10000.0,2073.4043,10000.0,30000.0
223,Olive groves,1.2753,14.741629420528502,10489.361,10000.0,2181.8628,10000.0,30000.0
312,Coniferous forest,0.92,11.054347826086957,10324.483,10000.0,1771.877,10000.0,20000.0
331,"Beaches, dunes, sands",0.774,19.79328165374677,10496.084,10000.0,2201.2007,10000.0,30000.0
Unknown_0,Unknown,0.4184,5.999043977055449,10438.247,10000.0,2047.0492,10000.0,20000.0
313,Mixed forest,0.3098,9.780503550677857,10132.014,10000.0,1141.3606,10000.0,20000.0
