corine_code,label,total_area_km2,void_area_km2,void_percentage
Unknown_0,Unknown,0.4184,0.39330000000000004,94.00095602294455
243,"Land principally occupied by agriculture, with significant areas of natural vegetation",11.3862,10.2856,90.33391298238217
313,Mixed forest,0.3098,0.2795,90.21949644932215
231,Pastures,4.1168000000000005,3.702,89.92421298095609
311,Broad-leaved forest,15.2995,13.717600000000001,89.66044641981765
312,Coniferous forest,0.92,0.8183,88.94565217391305
223,Olive groves,1.2753,1.0873000000000002,85.2583705794715
221,Vineyards,14.033000000000001,11.844700000000001,84.40604289888121
112,Discontinuous urban fabric,2.0639000000000003,1.7155,83.11933717718881
242,Complex cultivation patterns,1.4994,1.216,81.09910630919033
331,"Beaches, dunes, sands",0.774,0.6208,80.20671834625323
